NAME,STREET,NO,CITY,COUNTY,SOCIAL_SERVICE,TYPE,CATEGORY,CAPACITY,EMAIL,PHONE
Asociaţia Fraţilor Marişti ai Şcolilor din România,Propășirii,7,București,Bucureşti,Centrul de zi Frații Mariști,4,b1.3,35,antolinsantosill@yahoo.es,021 668 69 43
Asociaţia pentru Dezvoltare Comunitară Nehoiu - ADCN,Gh. Doja,16,Nehoiu,Buzău,Unitate de îngrijiri la domiciliu,5,B4,,,
Fundaţia El Şadai,Poieniței,27,Oradea,Bihor,Centrul rezidențial pentru tineri în dificultate,3,B2,22,,0259-428051
Fundaţia Umanitară Health Aid Romania,Garofiței,4,București,Bucureşti,Casa de tip familial Casa Garofița,1,"B1.3, B1.4, B2.1",5,healthaid@zappmobile.ro,213186105
Fundaţia Umanitară Health Aid Romania,Nicolae Pascu,6,București,Bucureşti,Locuință protejată Casa Bobocica,3,"B2, B3, B5",3,healthaid@zappmobile.ro,213186105
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Armata Română,37,Săcele,Brașov,Casa de tip familial Dale din cadrul Complexului de servicii Săcele,1,"B1, B2",12,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Policlinicii,12,Victoria,Brașov,Centrul de plasament Azur Victoria din cadrul Complexului de servicii Victoria,2,"B1, B2",70,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Principală,261,Budila,Brașov,"Casa de tip familial Buburuza, Tărlungeni",2,B1,12,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Națională Timișul de Sus,38,Timișul de Sus,Brașov,Centrul de îngrijire și asistență Sfântul Anton,1,"B2, B3, B4",65,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Apullum,3,Brașov,Brașov,Centrul de zi Casa Soarelui din cadrul Complexului de Servicii de recuperare Cristian,4,"B2, B3",15,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Barajului,84,Săcele,Brașov,Centrul de plasament Brândușa din cadrul Complexului de Reabilitare Școlară Brădet,2,"B1.2, B1.3, B1.4, B2.1",48,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Extravilan,1,Făgăraș,Brașov,Centrul de Reabilitare Școlară Floare de Colț din cadrul Complexului de Servicii Făgăraș,2,"B1, B1.3, B1.4",41,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Gării,499,Hărman,Brașov,Casa de tip familial Sfântul Patrick Hărman din cadrul Complexului de Servicii Hărman,2,"B1.3, B1.4, B2.1",12,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Apullum,3,Brașov,Brașov,Centrul de recuperare Micul Prinț și Echipa mobilă de recuperare din cadrul Complexului servicii de recuperare Cristian,4,B1,30,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Gării,499,Hărman,Brașov,Locuința Protejată Casa Irlanda din cadrul Complexului de Servicii Hărman,3,B2,8,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Calea Făgărașului,16,Ghimbav,Brașov,"Centrul Sfântul Stelian, Ghimbav",2,B1.3,25,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,Republicii,173,Rupea,Brașov,Centrul de plasament Casa Ioana Rupea,2,"B1, B2",58,,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov,,,Tărlungeni,Brașov,Casa Anastasia,2,B5,5,,
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Brașov, ,121,Brașov,Brașov ,"Casa de tip famial Sfânta Maria, din cadrul Complexului de servicii Piatra Craiului",2,"B1, B2",10,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Carpați,23,Codlea,Brașov,Centrul de reabilitare școlară Albina din cadrul Complexului de servicii Măgura Codlea,2,"B1, B2",20,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Carpați,23,Codlea,Brașov,Centrul de plasament Alice din cadrul Complexului de servicii Măgura Codlea,2,B1,25,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Combinatului,8,Făgăraș,Brașov,Centrul de plasament Casa Maria din cadrului Complexului de servicii  Făgăraș,2,"B1, B2",38,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Barajului,84,Săcele,Brașov,Centrul de plasament Ghiocelul din cadrului Complexului de reabilitare școlară Brădet,2,"B1, B2",48,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Republicii,158,Tărlungeni,Brașov,Centrul rezidențial pentru tinerii care au părăsit sistemul de protecție al copilului ,2,B2,16,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Carpați,23,Codlea,Brașov,Centrul de plasament Aurora din cadrul Complexului de servicii Măgura Codlea,2,"B1, B2",25,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Dr. I. Senchea,92,Zărnești,Brașov,Casa de tip familial Bambi din cadrul Complexului de servicii Piatra Craiului,2,B1,12,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Libertății,224,Jibert,Brașov,Centrul de plasament Dacia din cadrul Complexului de servicii Dacia,2,B1,30,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Eroilor,30,Râșnov,Brașov,Casa de tip familial Brebenel din cadrul Complexului de servicii Piatra Craiului,2,B1,12,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Policlinicii,12,Victoria,Brașov,Cămin pentru persoane vârstnice Castanul,2,B4,30,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Carpați,23,Codlea,Brașov,"Centrul de plasament pentru copilul cu handicap sever Speranța din cadrul Complexului de servicii Măgura, Codlea",2,B1,40,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Carpați,23,Codlea,Brașov,Centrul de primire în regim de urgență Domino din cadrul Complexului de servicii Măgura Codlea,2,B1,15,office@dgaspcbv.ro,268417100
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Braşov,Cloșca,819 B,Tărlungeni,Brașov,"Casa de tip familial Patrocle, Tărlungeni",2,B1,12,office@dgaspcbv.ro,268417100
Asociaţia Casa Gurban,Spiru Haret,133,Şiria,Arad,Cămin de îngrijire pentru persoane vârstnice Casa Gurban,1,B4,12,,
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului București,Caraiman,33A,București,București,Complexul multifuncțional Caraiman - serviciul consiliere și asistență persoane vârstnice,5,b4,60,comunicare@dgaspc-sectorul1.ro,212224275
Asociaţia Maica Anna Maria Adorni,Avram Iancu,21,Târgu Ocna,Bacău,Centrul rezidențial pentru copii Maica Anna Maria Adorni,1,"B1.2, B1.3, B1.4, B2.1",12,,
Asociaţia Nevăzătorilor din România Filiala Bacău,Vadu Bistriţei,4 A,Bacău,Bacău,Centrul de zi pentru persoane nevăzătoare,4,"b1.3, b1.4, b2, b3, b4, b5, b7",23,bcanvr@gmail.com,234578204
Asociaţia Nevăzătorilor din România Filiala Bistriţa,Piaţa V,22,Bistriţa,Bistriţa Năsăud,Centrul de informare și consiliere pentru nevăzători,4,"b1, b2, b3, b4",,bnanvr@gmail.com,0263-21-36-70
Asociaţia Rebeca,Principală,304B,Țaga,Cluj,Cămin pentru persoane vârstnice,1,B4,54,caminrebeca@yahoo.com,0748 201 020/0743 202 829
Fundaţia Porţile Deschise ,Armenească,19-21,Gherla,Cluj ,Centrul de zi pentru copii,4,B1,52,pvlmariana@gmail.com,0264-241389
Direcţia de Asistenţă Socială Brăila,Caraiman,11,Brăila,Brăila,Cămin pentru persoane vârstnice Sfinții apostoli Petru și Pavel ,1,B4,201,das_braila@yahoo.com,
Direcţia de Asistenţă Socială Brăila,Centrală,1,Brăila,Brăila,Cămin pentru persoane vârstnice Lacu Sărat,1,B4,142,das_braila@yahoo.com,
Direcţia de Asistenţă Socială Brăila,Zambilelor,1A,Brăila,Brăila,Cămin pentru persoane vârstnice Sfinții apostoli Petru și Pavel - Zambilelor,1,B4,40,das_braila@yahoo.com,
Asociaţia Încredere Speranţă Înţelegere,,254 A,Tisău,Buzău,Centrul pentru persoane vârstnice Haleş - nr. 254 A,1,b4,50,,
Asociaţia Încredere Speranţă Înţelegere,,147,Tisău,Buzău,Centrul pentru persoane vârstnice - sat Haleş nr. 147,1,B4,50,,
"Fundaţia Joyo - Sprijin Socio - Educativ pentru Copii, Tineri şi Familii în Dificultate",Lt.Av. Gheorghe Caranda,65,București,Bucureşti,Centrul de zi Casa Florian,4,"B1.3, B1.4, B5",80,joyo.florian@gmail.com,
Asociaţia Alternativa 2003,Fortunei,51,București,Bucureşti,Centrul de zi Alternativa,4,B2,22,alternativa2003romania@yahoo.com,021 – 668 20 27
Asociaţia Alternativa 2003,Fortunei,51,București,Bucureşti,Locuință protejată Alternativa,3,B2,4,alternativa2003romania@yahoo.com,021 – 668 20 27
Asociaţia Alternativa 2003,Nuvelei,97 A,București,Bucureşti,Centrul de respiro Alternativa,2,B2,3,alternativa2003romania@yahoo.com,021 – 668 20 27
Asociaţia Alternativa 2003,Fortunei,51,București,Bucureşti,Centrul de integrare prin terapie ocupațională Alternativa,4,B2,24,alternativa2003romania@yahoo.com,021 – 668 20 27
Asociaţia SOS Satele Copiilor România,Th. Speranția,137,București,Bucureşti,SOS Comunitatea de tineri nr. 2 Bucureşti,1,"B1.3, B1.4, B2.1",15,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Șt. Cel Mare,240,București,Bucureşti,SOS Comunitatea de tineri nr. 1 Bucureşti,1,"B1.3, B1.4, B2.1",15,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Floreasca,165,București,Bucureşti,SOS Centrul de consiliere și sprijin pentru copii și părinți București,6,"B1, B2.1, B2.2, B3, B5",310,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Floreasca,165,București,Bucureşti,SOS Satul Copiilor București - casa de tip familial nr. 2,1,"B1.2, B1.3, B1.4",72,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - casa de tip familial nr. 1,1,"B1.2, B1.3, B1.4",48,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Centrul de consiliere și sprijin pentru copii și părinți Bacău,6,"B1, B2.1, B5",200,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Centrul de zi Hemeiuș,4,B1.3,30,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Austrului,2,Bacău,Bacău,SOS Comunitatea de tineri Bacău,1,"B1.4, B2.1",14,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 1,1,"B1.2, B1.3, B1.4",84,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Centrul de consiliere și sprijin pentru copii și părinți Cisnădie,6,"B1, B2, B3, B5",240,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 4,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 5,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 6,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 9,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 10,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 11,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 12,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 13,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 14,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Calea Floreasca,165,București,Bucureşti,SOS Satul Copiilor Bucureşti - Casa de tip familial nr. 15,1,b1,6,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 2,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 3,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 4,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 5,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 6,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 7,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 2,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 3,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 4,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 5,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 6,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Gării,45,Hemeiuș,Bacău,SOS Satul Copiilor Hemeiuș - Casa de tip familial nr. 7,1,b1,7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 8,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 9,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 10,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 11,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia SOS Satele Copiilor România,Dr. Hermann Gmeiner,7,Cisnădie,Sibiu,SOS Satul copiilor Cisnădie - Casa de tip familial nr. 12,1,"b1, b2",7,sos@sos-satelecopiilor.ro,021-668-00-90
Asociaţia Caritas Eparhial Greco Catolic Cluj Filiala Bistriţa,Ursului,14,Bistriţa,Bistriţa Năsăud,Centrul care acordă servicii de îngrijire și asistență la domiciliu,5,"B4, B7",5,cid.cluj@yahoo.com,0263/235974
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Piața Libertății,10,Gherla,Cluj,Unitatea de îngrijire la domiciliu pentru persoane vârstnice,5,"B4, B7",20,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Ady Endre,19,Cluj Napoca,Cluj,Centrul de zi pentru copii cu dizabilități,4,"B1.2, B1.3, B1.4, B2, B3, B4, B5, B6, B7",8,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Ady Endre,19,Cluj Napoca,Cluj,Centrul de informare și consiliere pentru persoane cu dizabilități,6,"B2, B3, B4, B5, B6, B7",25,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Piața Cipariu,2,Cluj Napoca,Cluj,Unitatea de îngrijire la domiciliu pentru persoane vârstnice,5,"b4, b7",25,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Piața Cipariu,2,Cluj Napoca,Cluj,Centrul de zi pentru copii din familii în dificultate,4,b1,40,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Piața Cipariu,2,Cluj Napoca,Cluj,"Centrul de zi de evaluare, prevenire și consiliere antidrog",4,"b1, b2, b5, b6, b7",35,cid.cluj@yahoo.com,0264 591 404
Asociaţia Caritas Eparhial Greco Catolic Cluj ,Piața Cipariu,2,Cluj Napoca,Cluj,Centrul de zi - intervenții sociale în regim de urgență,4,"b2, b3, b4, b5, b6, b7",40,cid.cluj@yahoo.com,0264 591 404
Penitenciarul Aiud,Morii,7-9,Aiud,Alba,Serviciul educație și asistență psihosocială,10,"b1.4, b2, b3, b4",170,paiud@anp.gov.ro,0258-861-021
Fundaţia Creştină de Caritate Betesda,Războieni,88,Arad,Arad,Centrul rezidențial pentru vârstnici Betesda ,1,B4,7,,
Fundaţia Creştină Diakonia Filiala Oradea,Calea Clujului,63,Oradea,Bihor,Centrul care acordă servicii de îngrijire și asistență la domiciliu pentru persoane vârstnice,5,B4,12 /zi,diakoniaoradea@diakonia.ro , 0770/188-587
Fundaţia de Sprijin Comunitar,Pictor Andreescu,5,Bacău,Bacău,Centrul de zi pentru persoane vârstnice Dr. Ștefan Ciobanu,4,"B3, B4",60, fsc@fsc.ro,0234-585-658
Fundaţia de Sprijin Comunitar,,,Podu Turcului,Bacău,Centrul de zi pentru copilul aflat în dificultate Clubul cu lipici ,4,"B1.2, B1.3",25 /zi, fsc@fsc.ro,0234-585-658
Fundaţia de Sprijin Comunitar,,,Motoșeni,Bacău,Centrul comunitar Fântânele - centrul de zi pentru copilul aflat în dificultate (Clubul cu lipici),4,"B1.2, B1.3",25 /zi, fsc@fsc.ro,0234-585-658
Fundaţia de Sprijin Comunitar,Mărăști,32 bis,Bacău,Bacău,Centrul de zi pentru copii Mozaic,4,"B1.2, B1.3",25 /zi, fsc@fsc.ro,0234-585-658
Fundaţia de Sprijin Comunitar,Pictor Andreescu,5,Bacău,Bacău,Rețeaua de îngrijire la domiciliu pentru persoane vârstnice,5,"B3, B4",500 /zi, fsc@fsc.ro,0234-585-658
Fundaţia de Sprijin Comunitar,Libertății,325,Buhuși,Bacău,Cămin pentru persoane vârstnice Satul seniorilor Milly,1,"B3, B4",, fsc@fsc.ro,0234-585-658
Filiala Filantropia Ortodoxă Galda de Jos,Principală,19 b,Galda de Jos,Alba,Locuință protejată pentru persoane cu handicap adulți nr. 12 Galda de Jos,3,"b2.2, b3, b4",8,,
Filiala Filantropia Ortodoxă Galda de Jos,Principală,19 A,Galda de Jos,Alba,Locuință protejată pentru persoane cu handicap adulți nr. 11 Galda de Jos,3,b3,9,,
Filiala Filantropia Ortodoxă Galda de Jos,Principală,25,Galda de Jos,Alba,Locuință protejată pentru persoane cu handicap adulți nr. 9 Galda de Jos,3,"b2.2, b3",9,,
Asociaţia Sfântul Nectarie ,Fabricii de zahăr,49-51,Cluj Napoca,Cluj,Centrul de asistență paliativă,10,"B2, B3, B4, B5",30,,0364 733610
Asociaţia Maghiară a Handicapaţilor Motori Cluj,Pădurii,11,Cluj Napoca,Cluj,Cămin social Sfântul Kamill,1,B4,52,,
Asociaţia de Caritate Proiect Theodora,Timișului și Blajului,12,Cluj Napoca,Cluj,Cămin pentru persoane vârstnice Casa Theodora,1,"B3, B4",98,,
Asociaţia Caritatea Umanitar Internaţională,Nichita Stănescu,3,Cluj Napoca,Cluj,"Suport și asistență pentru persoanele cu dizabilități, ajutor umanitar și mediere socială",6,b7,,,
Asociaţia Naţională a Surzilor din România - Filiala Braşov,De Mijloc,9,Braşov,Braşov,Centrul de zi pentru persoanele cu deficiențe de auz,4,"b1, b2, b3, b4, b5",6,ansr_filiala_brasov@yahoo.com, 0368 800 031
Asociaţia Down - Centrul Educaţional Raluca ,Căpitan Grigore Ignat,23,Cluj Napoca,Cluj,Centrul de zi pentru persoane cu handicap,4,"b2, b3",20,asociatia.downcer@yahoo.com,0757-048581
Serviciul Public de Asistenţă Socială Cugir,Morilor,5B,Cugir - Vinerea,Alba,Centrul de zi pentru persoane cu dizabilități din cadrul Centrului social multifuncțional pentru persoane cu nevoi speciale Vinerea,4,"B2, B3",12,,0258-750-764
Serviciul Public de Asistenţă Socială Cugir,Morilor,5B,Cugir - Vinerea,Alba,Centrul de zi pentru copiii cu dizabilități din cadrul Centrului multifuncțional pentru persoane cu nevoi speciale Vinerea,4,B1,10,,0258/750764
Fundaţia Cultural Filantropică Protopop Aurel Munteanu,Protopop Aurel Munteanu,23,Huedin,Cluj,Cantina Socială Protopop Dorel Pușcaș,7,"B1, B2, B7",90,,
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,Mitropolit Andrei Șaguna,20,Blaj,Alba,Centrul de servicii de îngrijire și asistență la domiliu Blaj,5,B4,40,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,Aleea Țesătorilor,,Sibiu,Sibiu,Centrul de servicii de îngrijire și asistență la domiliu Sibiu,5,B4,20,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,Armatei,68,Târnăveni,Mureş,Centrul de servicii de îngrijire și asistență la domiliu Târnăveni,5,B4,30,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,1 Decembrie 1918,17,Brașov,Brașov,Centrul de servicii de îngrijire și asistență la domiliu Brașov,5,B4,20,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,Horea,7,Teiuș,Alba,Centrul de servicii de îngrijire și asistență la domiciliu Teiuș,5,B4,40,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,1 Decembrie 1918,17,Brașov,Brașov,"Centrul de prevenire, evaluare și consiliere antidrog",4,"B1.3, B1.4, B6, B7",20,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Asociaţia Caritas Mitropolitan Greco Catolic Blaj,1 Decembrie 1918,23 A,Mediaș,Sibiu,Centrul de recuperare neuromotorie Pruncul Isus,4,B1,15,secretariat@caritas-blaj.ro ,+40-258 71 22 28
Primăria Comunei Bratca ,,124,Bratca,Bihor,Cămin pentru persoane vârstnice Bratca,1,B4,40,primariabratca@yahoo.com, 0259-315 650
Asociaţia Casa Ioana,Olteniţei,39-41,București,Bucureşti,Centrul Casa Ioana,2,"b3, b5",40, office@casaioana.org, +40 21 332 6390
Fundaţia Naomi  - Cămin pentru Persoane Vârstnice Zâna Bună,Dejului,38,Gherla,Cluj,Cămin pentru persoane vârstnice Zâna bună,1,B4,13,,0784 560 959
Fundaţia Charis,Balastierei,4,Floreşti,Cluj,Centrul de zi Casa Speranța,4,b1.3,20,,
"Arhiepiscopia Vadului, Feleacului şi Clujului",Piaţa Avram Iancu,18,Cluj Napoca,Cluj,Centrul de informare și consiliere,6,"b2, b3, b4, b5, b6, b7",,benedict.vesa@gmail.com,0264/43-10-04
Fundaţia pentru Copii Sfântul Sava,Principală,52,Amaru,Buzău,Așezământul pentru persoane vârstnice Sfântul Sava Câmpeni,1,"B4, B5",22,,
Fundaţia pentru Copii Sfântul Sava,,,Buzău,Buzău,"Centrul de urgență "" violența în familie """,2,"B1.2, B1.3, B1.4, B2, B3, B5",8,,
Fundaţia pentru Copii Sfântul Sava,,,Robeasca,Buzău,Centrul social pentru persoane cu nevoi speciale,1,B4,8,sfsavabz@yahoo.com,+40 238-710-349
Fundaţia pentru Copii Sfântul Sava,,,Năeni,Buzău,Așezământ pentru bătrâni Năeni,1,"B4, B5",13,sfsavabz@yahoo.com,+40 238-710-349
Fundaţia pentru Copii Sfântul Sava,,,Pietroasele,Buzău,Așezământ pentru persoane vârstnice Pietroasele,1,"B4, B5",18,sfsavabz@yahoo.com,+40 238-710-349
Societatea de Caritate Uşa Speranţei,Principală,34,Blaj,Alba,Casa de tip familial Ușa speranței Tiur - Blaj,2,"b1, b2",12,,
Asociaţia Blumenau e.V.,Iuliu Maniu,35,Braşov,Braşov,Cămin de bătrâni,1,b4,35, blumenau.ev@gmail.com, 0040-(0)268-415396
Organizaţia Umanitară Concordia,Democrației,19,Ploiești,Prahova,Centrul de zi pentru copii Casa Alexandra,4,"B1.3, B1.4",36,secretariat@concordia.org.ro,+40 31 1076981
